# MEAN_SAMPLE_SIZE = 99339
# TOTAL_GENES = 18121
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
GO_bp:go_reversible_differen...          SET       5     0.039763   0.00066043      0.27383      0.44227 GO_bp:go_reversible_differentiation
GO_bp:go_cell_differentiatio...6         SET       3     -0.17723   -0.0022802      0.34188       0.6979 GO_bp:go_cell_differentiation_involved_in_phenotypic_switching
GO_bp:go_immunological_memor...2         SET      10     0.072742    0.0017084      0.18197      0.34467 GO_bp:go_immunological_memory_process
GO_bp:go_immunological_memor...1         SET       8        0.187    0.0039283      0.20901      0.18549 GO_bp:go_immunological_memory_formation_process
GO_bp:go_dna_repair_complex_...          SET       5     -0.21521   -0.0035744      0.28154      0.77768 GO_bp:go_dna_repair_complex_assembly
GO_bp:go_response_to_granulo...          SET       9    -0.097938   -0.0021822      0.21541      0.67532 GO_bp:go_response_to_granulocyte_macrophage_colony_stimulating_factor
GO_bp:go_protein_linear_poly...          SET       4     -0.15329   -0.0022773      0.28692      0.70342 GO_bp:go_protein_linear_polyubiquitination
GO_bp:go_dendritic_cell_apop...          SET       9     -0.45395    -0.010114      0.20008      0.98835 GO_bp:go_dendritic_cell_apoptotic_process
GO_bp:go_motor_neuron_apopto...          SET       7     -0.18505   -0.0036364      0.19966      0.82298 GO_bp:go_motor_neuron_apoptotic_process
GO_bp:go_type_b_pancreatic_c...1         SET      10     -0.24808   -0.0058264      0.21183      0.87923 GO_bp:go_type_b_pancreatic_cell_apoptotic_process
GO_bp:go_dendritic_spine_mai...          SET      19     0.080421    0.0026028      0.13909      0.28157 GO_bp:go_dendritic_spine_maintenance
GO_bp:go_ncrna_export_from_n...          SET      39      0.13768    0.0063806     0.087772     0.058376 GO_bp:go_ncrna_export_from_nucleus
GO_bp:go_anterior_head_devel...          SET       8     0.040454   0.00084984      0.18912      0.41531 GO_bp:go_anterior_head_development
GO_bp:go_ductus_arteriosus_c...          SET       5      0.21747     0.003612      0.30566       0.2384 GO_bp:go_ductus_arteriosus_closure
GO_bp:go_vascular_smooth_mus...1         SET       8      0.15744    0.0033073      0.22217      0.23928 GO_bp:go_vascular_smooth_muscle_cell_development
GO_bp:go_presynaptic_membran...2         SET       8      0.54954     0.011544      0.20827    0.0041661 GO_bp:go_presynaptic_membrane_organization
GO_bp:go_synaptic_vesicle_cl...          SET      12    -0.055979   -0.0014401      0.18661       0.6179 GO_bp:go_synaptic_vesicle_clustering
GO_bp:go_postsynaptic_membra...1         SET       9      0.10034    0.0022356      0.20071      0.30857 GO_bp:go_postsynaptic_membrane_assembly
GO_bp:go_presynaptic_membran...1         SET       6      0.64895     0.011807      0.23787    0.0031877 GO_bp:go_presynaptic_membrane_assembly
GO_bp:go_postsynaptic_densit...1         SET      18      0.33654     0.010602        0.151     0.012923 GO_bp:go_postsynaptic_density_assembly
GO_bp:go_ampa_glutamate_rece...          SET       8     0.077478    0.0016276      0.22233      0.36374 GO_bp:go_ampa_glutamate_receptor_clustering
GO_bp:go_postsynaptic_densit...2         SET       9    -0.097989   -0.0021833      0.21182      0.67818 GO_bp:go_postsynaptic_density_protein_95_clustering
GO_bp:go_receptor_localizati...2         SET      48      0.08885    0.0045669     0.087974      0.15627 GO_bp:go_receptor_localization_to_synapse
GO_bp:go_positive_regulation...378       SET       7     -0.30281   -0.0059505       0.2346      0.90159 GO_bp:go_positive_regulation_of_inhibitory_postsynaptic_potential
GO_bp:go_mesenchymal_cell_ap...          SET      12     0.053703    0.0013815      0.17519       0.3796 GO_bp:go_mesenchymal_cell_apoptotic_process
GO_bp:go_ruffle_assembly                 SET      40      0.18866    0.0088542     0.095711     0.024363 GO_bp:go_ruffle_assembly
GO_bp:go_dentinogenesis                  SET       6      -0.4044   -0.0073576      0.27025      0.93271 GO_bp:go_dentinogenesis
GO_bp:go_negative_regulation...680       SET      11     0.027692    0.0006821       0.1906      0.44224 GO_bp:go_negative_regulation_of_transcription_from_rna_polymerase_ii_promoter_in_response_to_stress
GO_bp:go_response_to_gonadot...2         SET       7     -0.02147  -0.00042191      0.23862      0.53585 GO_bp:go_response_to_gonadotropin_releasing_hormone
GO_bp:go_amyloid_beta_cleara...1         SET      30     0.012103   0.00049205       0.1147      0.45798 GO_bp:go_amyloid_beta_clearance
GO_bp:go_self_proteolysis                SET       6     -0.35672     -0.00649      0.28434      0.89517 GO_bp:go_self_proteolysis
GO_bp:go_omega_hydroxylase_p...          SET       9     0.072417    0.0016135      0.21297      0.36692 GO_bp:go_omega_hydroxylase_p450_pathway
GO_bp:go_keratinocyte_apopto...          SET       6     -0.52034   -0.0094669      0.24888      0.98172 GO_bp:go_keratinocyte_apoptotic_process
GO_bp:go_programmed_necrotic...          SET      37      0.10338    0.0046669      0.10399      0.16007 GO_bp:go_programmed_necrotic_cell_death
GO_bp:go_plasma_membrane_tub...          SET      21      -0.1945   -0.0066177      0.13176      0.93005 GO_bp:go_plasma_membrane_tubulation
GO_bp:go_response_to_antineo...          SET      90    -0.045728   -0.0032147     0.064403      0.76115 GO_bp:go_response_to_antineoplastic_agent
GO_bp:go_response_to_antimet...          SET      10     -0.21091   -0.0049534      0.20348      0.85002 GO_bp:go_response_to_antimetabolite
GO_bp:go_zymogen_inhibition              SET       8    -0.047115  -0.00098976       0.2623      0.57127 GO_bp:go_zymogen_inhibition
GO_bp:go_mitochondrial_outer...          SET      51      0.14489     0.007676     0.082861     0.040188 GO_bp:go_mitochondrial_outer_membrane_permeabilization
GO_bp:go_neutrophil_clearance            SET       5      0.10227    0.0016987      0.29458      0.36423 GO_bp:go_neutrophil_clearance
GO_bp:go_autophagosome_matur...          SET      35     0.093011    0.0040838     0.095368      0.16472 GO_bp:go_autophagosome_maturation
GO_bp:go_prenylation                     SET       9     -0.19151   -0.0042671      0.21754      0.81066 GO_bp:go_prenylation
GO_bp:go_response_to_broncho...          SET      47   -0.0070187  -0.00035699     0.092606      0.53021 GO_bp:go_response_to_bronchodilator
GO_bp:go_establishment_of_se...          SET       4      0.16183    0.0024042      0.24642      0.25568 GO_bp:go_establishment_of_sertoli_cell_barrier
GO_bp:go_cellular_lipid_bios...          SET       8      0.59762     0.012554      0.23393     0.005319 GO_bp:go_cellular_lipid_biosynthetic_process
GO_bp:go_response_to_interle...5         SET       9      0.28357    0.0063182      0.19893     0.077019 GO_bp:go_response_to_interleukin_17
GO_bp:go_hypoxia_inducible_f...          SET       3      0.55113    0.0070909      0.39318     0.080508 GO_bp:go_hypoxia_inducible_factor_1alpha_signaling_pathway
GO_bp:go_protein_maturation_...2         SET      10    -0.011147   -0.0002618      0.19527      0.52276 GO_bp:go_protein_maturation_by_iron_sulfur_cluster_transfer
GO_bp:go_supramolecular_fibe...          SET     598     -0.02319   -0.0041428     0.025508      0.81835 GO_bp:go_supramolecular_fiber_organization
GO_bp:go_programmed_cell_dea...1         SET      10     0.023311   0.00054747      0.18062      0.44866 GO_bp:go_programmed_cell_death_in_response_to_reactive_oxygen_species
GO_bp:go_motor_neuron_migrat...          SET       6     0.093995    0.0017101      0.27197      0.36482 GO_bp:go_motor_neuron_migration
GO_bp:go_dendrite_extension              SET      32      0.17527     0.007359      0.11155     0.058076 GO_bp:go_dendrite_extension
GO_bp:go_protein_localizatio...30        SET      12      0.62321     0.016033       0.1837   0.00034709 GO_bp:go_protein_localization_to_non_motile_cilium
GO_bp:go_receptor_localizati...1         SET       6       0.5323    0.0096846      0.25001     0.016628 GO_bp:go_receptor_localization_to_non_motile_cilium
GO_bp:go_stress_response_to_...          SET       9     -0.16158   -0.0036002      0.21142      0.77763 GO_bp:go_stress_response_to_metal_ion
GO_bp:go_necroptotic_signali...          SET       6     -0.06335   -0.0011526      0.25243      0.59908 GO_bp:go_necroptotic_signaling_pathway
GO_bp:go_mast_cell_migration             SET      12      0.48689     0.012525        0.184    0.0040751 GO_bp:go_mast_cell_migration
GO_bp:go_calcium_ion_transme...1         SET     129     -0.17743    -0.014918     0.055845      0.99926 GO_bp:go_calcium_ion_transmembrane_import_into_cytosol
GO_bp:go_sequestering_of_iro...          SET       3       0.5632    0.0072462      0.33849     0.048077 GO_bp:go_sequestering_of_iron_ion
GO_bp:go_potassium_ion_expor...          SET      15     -0.23772   -0.0068367      0.16311      0.92749 GO_bp:go_potassium_ion_export_across_plasma_membrane
GO_bp:go_calcitonin_family_r...          SET       6     -0.46908   -0.0085344      0.27107      0.95822 GO_bp:go_calcitonin_family_receptor_signaling_pathway
GO_bp:go_receptor_signaling_...          SET     138     0.011747    0.0010212     0.051905      0.41048 GO_bp:go_receptor_signaling_pathway_via_stat
GO_bp:go_connective_tissue_r...          SET       8     0.027784   0.00058366      0.22136      0.45006 GO_bp:go_connective_tissue_replacement
GO_bp:go_ciliary_basal_body_...          SET      90     0.090962    0.0063947      0.05979     0.064095 GO_bp:go_ciliary_basal_body_plasma_membrane_docking
GO_bp:go_calcineurin_mediate...          SET      44     0.099092     0.004877     0.091601      0.13968 GO_bp:go_calcineurin_mediated_signaling
GO_bp:go_de_novo_centriole_a...          SET       5      0.16623     0.002761      0.28664      0.28098 GO_bp:go_de_novo_centriole_assembly
GO_bp:go_positive_regulation...69        SET      52     0.062098    0.0033218     0.087152      0.23807 GO_bp:go_positive_regulation_of_blood_vessel_diameter
GO_bp:go_negative_regulation...59        SET      73    0.0011009   6.9736e-05     0.077139      0.49431 GO_bp:go_negative_regulation_of_blood_vessel_diameter
GO_bp:go_polynucleotide_deph...          SET       5      0.45438    0.0075468      0.26631     0.043995 GO_bp:go_polynucleotide_dephosphorylation
GO_bp:go_skeletal_muscle_fib...          SET       6     0.069834    0.0012706      0.24821      0.38922 GO_bp:go_skeletal_muscle_fiber_differentiation
GO_bp:go_histone_h3_k27_trim...          SET       7      0.47703     0.009374      0.23648     0.021847 GO_bp:go_histone_h3_k27_trimethylation
GO_bp:go_detection_of_extern...          SET      17      0.11892    0.0036407      0.17223      0.24497 GO_bp:go_detection_of_external_biotic_stimulus
GO_bp:go_observational_learn...          SET       8      0.17936    0.0037679       0.2287      0.21644 GO_bp:go_observational_learning
GO_bp:go_learned_vocalizatio...          SET      10     0.090686    0.0021298      0.21913      0.33949 GO_bp:go_learned_vocalization_behavior_or_vocal_learning
GO_bp:go_cation_transmembran...          SET     766    -0.024745    -0.004979     0.022826      0.86082 GO_bp:go_cation_transmembrane_transport
GO_bp:go_inorganic_anion_tra...1         SET      98    -0.099065   -0.0072657     0.060553      0.94907 GO_bp:go_inorganic_anion_transmembrane_transport
GO_bp:go_regulation_of_synap...12        SET     105     0.024394    0.0018516     0.061844      0.34663 GO_bp:go_regulation_of_synaptic_vesicle_cycle
GO_bp:go_regulation_of_neuro...15        SET       6      0.51442    0.0093593      0.26244     0.024997 GO_bp:go_regulation_of_neurotransmitter_receptor_localization_to_postsynaptic_specialization_membrane
GO_bp:go_postsynaptic_specia...1         SET      21      0.40861     0.013902      0.14052    0.0018213 GO_bp:go_postsynaptic_specialization_assembly
GO_bp:go_neurotransmitter_lo...          SET       8      0.25237    0.0053017      0.22697       0.1331 GO_bp:go_neurotransmitter_loading_into_synaptic_vesicle
GO_bp:go_sodium_ion_import_a...          SET      13     0.019456   0.00052094       0.1747      0.45566 GO_bp:go_sodium_ion_import_across_plasma_membrane
GO_bp:go_asymmetric_stem_cel...          SET       9     -0.13273   -0.0029574      0.22027       0.7266 GO_bp:go_asymmetric_stem_cell_division
GO_bp:go_macromolecule_depal...          SET      10     0.015257   0.00035831      0.17496      0.46526 GO_bp:go_macromolecule_depalmitoylation
GO_bp:go_positive_regulation...809       SET       5     -0.12426   -0.0020638      0.30053      0.66036 GO_bp:go_positive_regulation_of_the_force_of_heart_contraction
GO_bp:go_import_across_plasm...          SET     106    -0.025154   -0.0019182     0.060543       0.6611 GO_bp:go_import_across_plasma_membrane
GO_bp:go_response_to_interle...11        SET      28      0.13958    0.0054827      0.12114      0.12462 GO_bp:go_response_to_interleukin_7
GO_bp:go_response_to_mitocho...          SET      19       0.2283    0.0073887      0.13194     0.041803 GO_bp:go_response_to_mitochondrial_depolarisation
GO_bp:go_mrna_cleavage_invol...          SET      11      0.17539    0.0043202      0.17598      0.15947 GO_bp:go_mrna_cleavage_involved_in_mrna_processing
GO_bp:go_neurotransmitter_re...4         SET      21      0.10102     0.003437      0.13578      0.22845 GO_bp:go_neurotransmitter_reuptake
GO_bp:go_spontaneous_synapti...          SET       7    -0.023614  -0.00046404      0.24326      0.53867 GO_bp:go_spontaneous_synaptic_transmission
GO_bp:go_folate_transmembran...          SET       6      0.01726   0.00031403      0.22206      0.46902 GO_bp:go_folate_transmembrane_transport
GO_bp:go_intestinal_lipid_ab...          SET      13      0.13052    0.0034948      0.18963      0.24563 GO_bp:go_intestinal_lipid_absorption
GO_bp:go_vesicle_mediated_tr...3         SET      89    -0.023191   -0.0016213      0.06067      0.64886 GO_bp:go_vesicle_mediated_transport_to_the_plasma_membrane
GO_bp:go_maintenance_of_post...          SET       3     -0.19372   -0.0024924      0.32355      0.72532 GO_bp:go_maintenance_of_postsynaptic_specialization_structure
GO_bp:go_exocytic_insertion_...          SET       5     0.010387   0.00017253      0.25858      0.48398 GO_bp:go_exocytic_insertion_of_neurotransmitter_receptor_to_plasma_membrane
GO_bp:go_synapse_pruning                 SET       9    -0.074162   -0.0016524      0.22407      0.62967 GO_bp:go_synapse_pruning
GO_bp:go_postsynaptic_neurot...          SET      18     0.088422    0.0027855      0.14926      0.27679 GO_bp:go_postsynaptic_neurotransmitter_receptor_internalization
GO_bp:go_modification_of_pos...1         SET      10       0.3783    0.0088847      0.21542     0.039544 GO_bp:go_modification_of_postsynaptic_actin_cytoskeleton
GO_bp:go_regulation_of_membr...2         SET       5      0.22071    0.0036657      0.27724        0.213 GO_bp:go_regulation_of_membrane_depolarization_during_action_potential
GO_bp:go_regulation_of_membr...9         SET       7     -0.27427   -0.0053897      0.24567      0.86787 GO_bp:go_regulation_of_membrane_repolarization_during_action_potential
GO_bp:go_regulation_of_neuro...11        SET       4      0.14371     0.002135      0.32727      0.33028 GO_bp:go_regulation_of_neuronal_action_potential
GO_bp:go_regulation_of_cardi...5         SET       6      0.53378    0.0097115      0.24253      0.01388 GO_bp:go_regulation_of_cardiac_muscle_cell_action_potential_involved_in_regulation_of_contraction
GO_bp:go_regulation_of_atria...1         SET       5      0.53223    0.0088398      0.29886     0.037478 GO_bp:go_regulation_of_atrial_cardiac_muscle_cell_action_potential
GO_bp:go_membrane_repolariza...3         SET       5      -0.4799   -0.0079707      0.29862      0.94597 GO_bp:go_membrane_repolarization_during_atrial_cardiac_muscle_cell_action_potential
GO_bp:go_membrane_repolariza...4         SET      13     -0.27577   -0.0073839      0.18171      0.93544 GO_bp:go_membrane_repolarization_during_ventricular_cardiac_muscle_cell_action_potential
GO_bp:go_retrograde_trans_sy...1         SET       9     -0.19382   -0.0043184      0.22371      0.80685 GO_bp:go_retrograde_trans_synaptic_signaling
GO_bp:go_retrograde_trans_sy...2         SET       4    -0.015228  -0.00022623      0.30719      0.51977 GO_bp:go_retrograde_trans_synaptic_signaling_by_lipid
GO_bp:go_postsynaptic_signal...          SET       9       0.2707    0.0060316      0.20498     0.093319 GO_bp:go_postsynaptic_signal_transduction
GO_bp:go_axonal_transport                SET      51   0.00097963   5.1899e-05     0.089617      0.49564 GO_bp:go_axonal_transport
GO_bp:go_dendritic_transport             SET       9     -0.05823   -0.0012974      0.21481      0.60683 GO_bp:go_dendritic_transport
GO_bp:go_anterograde_dendrit...          SET       5    0.0074745   0.00012414       0.2848      0.48953 GO_bp:go_anterograde_dendritic_transport
GO_bp:go_neurotransmitter_re...3         SET       7      0.16752    0.0032919      0.25053      0.25187 GO_bp:go_neurotransmitter_receptor_transport_postsynaptic_endosome_to_lysosome
GO_bp:go_receptor_diffusion_...          SET       9      0.20264     0.004515      0.21537      0.17339 GO_bp:go_receptor_diffusion_trapping
GO_bp:go_regulation_of_posts...7         SET      13      0.20382    0.0054573      0.17474      0.12174 GO_bp:go_regulation_of_postsynaptic_neurotransmitter_receptor_activity
GO_bp:go_postsynaptic_actin_...          SET       8        0.328    0.0068904      0.22465     0.072145 GO_bp:go_postsynaptic_actin_cytoskeleton_organization
GO_bp:go_excitatory_chemical...          SET       8     -0.15823   -0.0033239      0.23132      0.75302 GO_bp:go_excitatory_chemical_synaptic_transmission
GO_bp:go_vesicle_mediated_tr...2         SET     192     0.033377    0.0034175     0.045178      0.23002 GO_bp:go_vesicle_mediated_transport_in_synapse
GO_bp:go_calmodulin_dependen...          SET       7     0.056375    0.0011078      0.24695      0.40971 GO_bp:go_calmodulin_dependent_kinase_signaling_pathway
GO_bp:go_modification_of_pos...2         SET      15      0.38644     0.011114      0.15883    0.0074918 GO_bp:go_modification_of_postsynaptic_structure
GO_bp:go_vesicle_tethering               SET       7     -0.15143   -0.0029759      0.21578       0.7586 GO_bp:go_vesicle_tethering
GO_bp:go_postsynapse_assembly            SET      28      0.28723     0.011282      0.12093    0.0087745 GO_bp:go_postsynapse_assembly
GO_bp:go_regulation_of_posts...4         SET      59       0.1667    0.0094968     0.081789     0.020772 GO_bp:go_regulation_of_postsynaptic_membrane_neurotransmitter_receptor_levels
GO_bp:go_postsynaptic_specia...2         SET      31      0.16133    0.0066671      0.11497      0.08029 GO_bp:go_postsynaptic_specialization_organization
GO_bp:go_trna_5_end_processi...          SET      14     -0.26756   -0.0074344      0.14486      0.96762 GO_bp:go_trna_5_end_processing
GO_bp:go_atp_hydrolysis_coup...1         SET      52    -0.018408  -0.00098472     0.084645      0.58608 GO_bp:go_atp_hydrolysis_coupled_cation_transmembrane_transport
GO_bp:go_regulation_of_posts...8         SET      12      0.01374   0.00035347      0.19144      0.47139 GO_bp:go_regulation_of_postsynaptic_neurotransmitter_receptor_internalization
GO_bp:go_regulation_of_posts...9         SET      13      0.63009     0.016871      0.18337   0.00029574 GO_bp:go_regulation_of_postsynaptic_specialization_assembly
GO_bp:go_regulation_of_modif...1         SET       6      0.52367    0.0095275        0.232     0.012003 GO_bp:go_regulation_of_modification_of_postsynaptic_structure
GO_bp:go_postsynaptic_modula...          SET      15      0.26436    0.0076028      0.16746     0.057226 GO_bp:go_postsynaptic_modulation_of_chemical_synaptic_transmission
GO_bp:go_presynaptic_modulat...          SET      13     0.067074    0.0017959        0.172      0.34828 GO_bp:go_presynaptic_modulation_of_chemical_synaptic_transmission
GO_bp:go_presynapse_organiza...          SET      38      0.19785    0.0090508      0.10399     0.028552 GO_bp:go_presynapse_organization
GO_bp:go_postsynapse_organiz...          SET     144      0.13195     0.011716     0.051678    0.0053401 GO_bp:go_postsynapse_organization
GO_bp:go_regulation_of_presy...1         SET      25      0.25091    0.0093136      0.13076     0.027506 GO_bp:go_regulation_of_presynapse_organization
GO_bp:go_regulation_of_posts...1         SET      89      0.17944     0.012545     0.065889    0.0032342 GO_bp:go_regulation_of_postsynapse_organization
GO_bp:go_regulation_of_trans...1         SET     409    0.0017205   0.00025555     0.031008      0.47788 GO_bp:go_regulation_of_trans_synaptic_signaling
GO_bp:go_postsynaptic_cytosk...          SET       9      0.30311    0.0067536      0.21304     0.077403 GO_bp:go_postsynaptic_cytoskeleton_organization
GO_bp:go_regulation_of_presy...3         SET       7     -0.18155   -0.0035677      0.24406      0.77152 GO_bp:go_regulation_of_presynaptic_membrane_potential
GO_bp:go_regulation_of_presy...2         SET      14     -0.23377   -0.0064953      0.17275        0.912 GO_bp:go_regulation_of_presynaptic_cytosolic_calcium_ion_concentration
GO_bp:go_actin_filament_base...3         SET       8     -0.21505   -0.0045177      0.22231      0.83331 GO_bp:go_actin_filament_based_transport
GO_bp:go_presynaptic_dense_c...          SET       6    -0.075175   -0.0013677       0.2708      0.60934 GO_bp:go_presynaptic_dense_core_vesicle_exocytosis
GO_bp:go_synaptic_vesicle_en...          SET       6      0.27957    0.0050865      0.26174      0.14274 GO_bp:go_synaptic_vesicle_endosomal_processing
GO_bp:go_trans_synaptic_sign...1         SET       7      0.15918     0.003128      0.24281      0.25606 GO_bp:go_trans_synaptic_signaling_by_lipid
GO_bp:go_trans_synaptic_sign...2         SET       7       1.0556     0.020743      0.26511   3.4353e-05 GO_bp:go_trans_synaptic_signaling_by_trans_synaptic_complex
GO_bp:go_regulation_of_trans...16        SET       4      0.27128    0.0040301      0.24229      0.13144 GO_bp:go_regulation_of_translation_at_synapse_modulating_synaptic_transmission
GO_bp:go_trans_synaptic_sign...3         SET      12     0.051127    0.0013153      0.19506      0.39662 GO_bp:go_trans_synaptic_signaling_modulating_synaptic_transmission
GO_bp:go_maintenance_of_syna...          SET      12      0.31869    0.0081986      0.17161     0.031656 GO_bp:go_maintenance_of_synapse_structure
GO_bp:go_synaptic_membrane_a...          SET      25      0.32526     0.012073      0.13261    0.0070948 GO_bp:go_synaptic_membrane_adhesion
GO_bp:go_modification_of_syn...          SET      19      0.25864    0.0083708      0.14347     0.035724 GO_bp:go_modification_of_synaptic_structure
GO_bp:go_chemical_synaptic_t...          SET     102    -0.033665   -0.0025187     0.063734      0.70132 GO_bp:go_chemical_synaptic_transmission_postsynaptic
GO_bp:go_regulation_of_posts...2         SET       9    -0.099084   -0.0022077      0.22013      0.67368 GO_bp:go_regulation_of_postsynaptic_cytosolic_calcium_ion_concentration
GO_bp:go_inorganic_ion_impor...          SET      76    0.0062123   0.00040148     0.071234      0.46525 GO_bp:go_inorganic_ion_import_across_plasma_membrane
GO_bp:go_neurotransmitter_re...1         SET      25     0.091586    0.0033995       0.1286      0.23819 GO_bp:go_neurotransmitter_receptor_internalization
GO_bp:go_protein_localizatio...1         SET       9      0.27936    0.0062244      0.21667     0.098651 GO_bp:go_protein_localization_to_axon
GO_bp:go_cardiac_muscle_cell...7         SET      32     0.043702    0.0018349      0.10683      0.34124 GO_bp:go_cardiac_muscle_cell_membrane_repolarization
GO_bp:go_atrial_cardiac_musc...1         SET       8      -0.1715   -0.0036028      0.21178      0.79097 GO_bp:go_atrial_cardiac_muscle_cell_membrane_repolarization
GO_bp:go_ventricular_cardiac...4         SET      24   -0.0014611   -5.314e-05      0.12538      0.50465 GO_bp:go_ventricular_cardiac_muscle_cell_membrane_repolarization
GO_bp:go_protein_transport_w...2         SET      44     0.017962   0.00088403     0.094071      0.42429 GO_bp:go_protein_transport_within_plasma_membrane
GO_bp:go_endosome_to_plasma_...          SET      10      0.14968    0.0035154      0.19778      0.22458 GO_bp:go_endosome_to_plasma_membrane_protein_transport
GO_bp:go_axo_dendritic_prote...          SET      13    -0.072736   -0.0019475      0.15956      0.67575 GO_bp:go_axo_dendritic_protein_transport
GO_bp:go_anterograde_axonal_...          SET       9     0.038015   0.00084701       0.1886      0.42013 GO_bp:go_anterograde_axonal_protein_transport
GO_bp:go_signal_release_from...          SET     159     0.034488    0.0032165     0.049579      0.24334 GO_bp:go_signal_release_from_synapse
GO_bp:go_neurotransmitter_re...2         SET      18      0.41029     0.012925      0.15279     0.003626 GO_bp:go_neurotransmitter_receptor_localization_to_postsynaptic_specialization_membrane
GO_bp:go_vascular_endothelia...1         SET      16    -0.025597  -0.00076029      0.14187      0.57159 GO_bp:go_vascular_endothelial_cell_proliferation
GO_bp:go_intestinal_hexose_a...          SET       6     -0.24815   -0.0045149      0.23305      0.85651 GO_bp:go_intestinal_hexose_absorption
GO_bp:go_regulation_of_infla...3         SET       3    -0.081514   -0.0010488       0.3416       0.5943 GO_bp:go_regulation_of_inflammatory_response_to_wounding
GO_bp:go_neuron_projection_o...          SET      78     0.030607    0.0020038     0.070328      0.33171 GO_bp:go_neuron_projection_organization
GO_bp:go_protein_maturation_...1         SET       3     -0.48146   -0.0061945      0.34811      0.91667 GO_bp:go_protein_maturation_by_4fe_4s_cluster_transfer
GO_bp:go_regulation_of_cellu...23        SET       6     -0.23937    -0.004355      0.27981      0.80385 GO_bp:go_regulation_of_cellular_response_to_osmotic_stress
GO_bp:go_regulation_of_calci...2         SET      34     0.050372    0.0021799      0.10159         0.31 GO_bp:go_regulation_of_calcineurin_mediated_signaling
GO_bp:go_negative_regulation...66        SET      14      0.12025    0.0033413      0.15259      0.21534 GO_bp:go_negative_regulation_of_calcineurin_mediated_signaling
GO_bp:go_positive_regulation...78        SET      17     0.017662   0.00054074      0.15411      0.45438 GO_bp:go_positive_regulation_of_calcineurin_mediated_signaling
GO_bp:go_regulation_of_adeny...2         SET      12     0.090573    0.0023301       0.1883      0.31526 GO_bp:go_regulation_of_adenylate_cyclase_activating_g_protein_coupled_receptor_signaling_pathway
GO_bp:go_positive_regulation...17        SET       5      0.16493    0.0027393       0.3085      0.29647 GO_bp:go_positive_regulation_of_adenylate_cyclase_activating_g_protein_coupled_receptor_signaling_pathway
GO_bp:go_negative_regulation...15        SET       9      0.15436    0.0034393      0.21205      0.23333 GO_bp:go_negative_regulation_of_adenylate_cyclase_activating_g_protein_coupled_receptor_signaling_pathway
GO_bp:go_aminoacyl_trna_meta...          SET      11     -0.19065    -0.004696      0.15919      0.88447 GO_bp:go_aminoacyl_trna_metabolism_involved_in_translational_fidelity
GO_bp:go_regulation_of_actom...          SET      81     0.094824    0.0063257     0.067501     0.080053 GO_bp:go_regulation_of_actomyosin_structure_organization
GO_bp:go_cardiac_muscle_myob...          SET       3     -0.15125    -0.001946      0.39356      0.64963 GO_bp:go_cardiac_muscle_myoblast_proliferation
GO_bp:go_regulation_of_actin...5         SET     230     0.018131    0.0020297     0.040887      0.32873 GO_bp:go_regulation_of_actin_filament_organization
GO_bp:go_cellular_detoxifica...2         SET       5     0.074353    0.0012349      0.27123      0.39199 GO_bp:go_cellular_detoxification_of_aldehyde
GO_bp:go_cellular_response_t...5         SET       6      0.10867    0.0019771      0.26338      0.33995 GO_bp:go_cellular_response_to_aldehyde
GO_bp:go_positive_regulation...32        SET      77     0.082873    0.0053908     0.071631      0.12365 GO_bp:go_positive_regulation_of_animal_organ_morphogenesis
GO_bp:go_negative_regulation...28        SET      29     0.032802    0.0013112      0.11798       0.3905 GO_bp:go_negative_regulation_of_animal_organ_morphogenesis
GO_bp:go_regulation_of_lipid...8         SET       2     -0.32903   -0.0034565      0.46719      0.75936 GO_bp:go_regulation_of_lipid_transporter_activity
GO_bp:go_intermembrane_lipid...          SET      10    -0.040513  -0.00095147      0.16797       0.5953 GO_bp:go_intermembrane_lipid_transfer
GO_bp:go_negative_regulation...521       SET      20      0.11684    0.0038795      0.12312      0.17132 GO_bp:go_negative_regulation_of_plasma_membrane_bounded_cell_projection_assembly
GO_bp:go_positive_regulation...633       SET      92     0.031709    0.0022537     0.064165      0.31059 GO_bp:go_positive_regulation_of_plasma_membrane_bounded_cell_projection_assembly
GO_bp:go_positive_regulation...179       SET      91      0.07095    0.0050153     0.064965       0.1374 GO_bp:go_positive_regulation_of_cold_induced_thermogenesis
GO_bp:go_negative_regulation...160       SET      45     0.063494    0.0031602     0.092307      0.24578 GO_bp:go_negative_regulation_of_cold_induced_thermogenesis
GO_bp:go_tight_junction_orga...          SET      50      0.13856    0.0072685     0.085604     0.052774 GO_bp:go_tight_junction_organization
GO_bp:go_exocytic_process                SET      79      0.18183      0.01198     0.066998    0.0033271 GO_bp:go_exocytic_process
GO_bp:go_cellular_response_t...88        SET      10      0.12556    0.0029488      0.18083      0.24373 GO_bp:go_cellular_response_to_oxidised_low_density_lipoprotein_particle_stimulus
GO_bp:go_mitochondrial_gene_...          SET     157      0.02642    0.0024486     0.046863      0.28646 GO_bp:go_mitochondrial_gene_expression
GO_bp:go_neuron_projection_a...          SET      18     -0.27985   -0.0088158      0.14732      0.97125 GO_bp:go_neuron_projection_arborization
